,frame_number,new_people_count,total_people_in_frame,cumulative,flow,coords
10,10,0,9,9,"[([1, 0], [-1, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9342041015625, 260.0550537109375), (2, 73.69290161132812, 180.55233764648438), (3, 996.737060546875, 483.6584167480469), (4, 1148.7100830078125, 470.4660339355469), (5, 340.09100341796875, 90.02289581298828), (6, 284.30523681640625, 114.02935791015625), (7, 345.71234130859375, 242.77001953125), (8, 284.02166748046875, 112.43756103515625), (9, 148.66949462890625, 67.99070739746094), (10, 841.3123779296875, 410.6593017578125), (11, 542.0324096679688, 362.7727966308594), (12, 393.24212646484375, 13.829238891601562)]"
11,11,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.94384765625, 260.05841064453125), (2, 73.69442749023438, 180.5634307861328), (3, 996.7435302734375, 483.64788818359375), (4, 1148.7001953125, 470.4588317871094), (5, 340.09130859375, 90.02288818359375), (6, 284.3149108886719, 114.03512573242188), (7, 345.70849609375, 242.76902770996094), (8, 284.01983642578125, 112.44223022460938), (9, 148.6683807373047, 67.99137878417969), (10, 841.3126220703125, 410.66009521484375), (11, 542.0316162109375, 362.79705810546875), (12, 393.244873046875, 13.833404541015625)]"
12,12,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9478759765625, 260.0596923828125), (2, 73.69499206542969, 180.5678253173828), (3, 996.7457275390625, 483.6434020996094), (4, 1148.696044921875, 470.45623779296875), (5, 340.0914611816406, 90.02290344238281), (6, 284.3184814453125, 114.037109375), (7, 345.70703125, 242.7686767578125), (8, 284.0191345214844, 112.4439697265625), (9, 148.66790771484375, 67.99159240722656), (10, 841.312744140625, 410.66021728515625), (11, 542.0306396484375, 362.80596923828125), (12, 393.245849609375, 13.834884643554688)]"
13,13,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.94970703125, 260.0601806640625), (2, 73.6951904296875, 180.56964111328125), (3, 996.746337890625, 483.641357421875), (4, 1148.694091796875, 470.45538330078125), (5, 340.09149169921875, 90.02293395996094), (6, 284.3197021484375, 114.03765869140625), (7, 345.70654296875, 242.76849365234375), (8, 284.01885986328125, 112.44461059570312), (9, 148.66770935058594, 67.99166870117188), (10, 841.3128662109375, 410.66015625), (11, 542.0297241210938, 362.80902099609375), (12, 393.24615478515625, 13.835357666015625)]"
14,14,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9423828125, 260.05633544921875), (2, 73.696044921875, 180.56353759765625), (3, 996.7425537109375, 483.6469421386719), (4, 1148.705078125, 470.45947265625), (5, 340.09027099609375, 90.02330017089844), (6, 284.30694580078125, 114.0268783569336), (7, 345.7103576660156, 242.77032470703125), (8, 284.019287109375, 112.44680786132812), (9, 148.66854858398438, 67.99330139160156), (10, 841.3134765625, 410.6595153808594), (11, 542.0230712890625, 362.78076171875), (12, 393.24371337890625, 13.831787109375)]"
15,15,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.93994140625, 260.054931640625), (2, 73.69635009765625, 180.5613250732422), (3, 996.7408447265625, 483.64874267578125), (4, 1148.708984375, 470.4611511230469), (5, 340.08978271484375, 90.0234375), (6, 284.3020935058594, 114.02267456054688), (7, 345.7117919921875, 242.77099609375), (8, 284.0194396972656, 112.44760131835938), (9, 148.6688232421875, 67.99388122558594), (10, 841.3136596679688, 410.6591796875), (11, 542.0201416015625, 362.7699279785156), (12, 393.24273681640625, 13.83038330078125)]"
16,16,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9398193359375, 260.05517578125), (2, 73.69456481933594, 180.5689697265625), (3, 996.7396850585938, 483.6488037109375), (4, 1148.7158203125, 470.4627685546875), (5, 340.0904541015625, 90.02327728271484), (6, 284.304931640625, 114.02609252929688), (7, 345.70977783203125, 242.77000427246094), (8, 284.01861572265625, 112.4433822631836), (9, 148.66891479492188, 67.99346923828125), (10, 841.3128662109375, 410.6616516113281), (11, 542.032958984375, 362.7773742675781), (12, 393.2453918457031, 13.828720092773438)]"
17,17,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 1], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9652099609375, 260.05914306640625), (2, 73.6828384399414, 180.5428466796875), (3, 996.7410888671875, 483.6378173828125), (4, 1148.6820068359375, 470.45147705078125), (5, 340.08612060546875, 90.02809143066406), (6, 284.2975158691406, 114.00418090820312), (7, 345.6999206542969, 242.77813720703125), (8, 284.0150146484375, 112.4482421875), (9, 148.6671142578125, 67.99118041992188), (10, 841.3114624023438, 410.65618896484375), (11, 542.1820068359375, 363.086669921875), (12, 393.2423095703125, 13.847305297851562)]"
18,18,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 1], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9820556640625, 260.0621337890625), (2, 73.67987060546875, 180.53102111816406), (3, 996.7421875, 483.6311340332031), (4, 1148.665771484375, 470.44677734375), (5, 340.08453369140625, 90.02871704101562), (6, 284.2940673828125, 113.99895477294922), (7, 345.69720458984375, 242.7832794189453), (8, 284.0133056640625, 112.451171875), (9, 148.66949462890625, 67.98832702636719), (10, 841.311767578125, 410.6553649902344), (11, 542.2181396484375, 363.1986083984375), (12, 393.24298095703125, 13.856414794921875)]"
19,19,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 1], 11), ([0, 0], [0, 0], 12)]","[(1, 904.986572265625, 260.059814453125), (2, 73.67847442626953, 180.52865600585938), (3, 996.7447509765625, 483.633544921875), (4, 1148.663818359375, 470.4446105957031), (5, 340.08294677734375, 90.03041076660156), (6, 284.2929992675781, 113.99866485595703), (7, 345.69482421875, 242.78329467773438), (8, 284.0141906738281, 112.44900512695312), (9, 148.66891479492188, 67.98707580566406), (10, 841.312255859375, 410.6529541015625), (11, 542.2139282226562, 363.2344970703125), (12, 393.24072265625, 13.858428955078125)]"
