,frame_number,new_people_count,total_people_in_frame,cumulative,flow,coords
381,381,0,9,73,"[([6, -55], [3, -1], 2), ([9, 0], [0, 0], 28), ([0, -3], [-1, 0], 145), ([9, -2], [-6, -53], 127), ([-5, -2], [7, 4], 309), ([1, 0], [-2, 5], 335), ([2, -1], [-2, 5], 336), ([3, 5], [2, -7], 344), ([38, -10], [51, -31], 339), ([-3, 1], [2, -1], 321)]","[(2, 91.92991638183594, 192.17526245117188), (28, 788.6778564453125, 75.51805877685547), (145, 369.4232177734375, 24.989715576171875), (127, 299.17547607421875, 112.44369506835938), (309, 695.9634399414062, 649.9595947265625), (335, 95.30621337890625, 146.8577880859375), (336, 825.0785522460938, 129.8686065673828), (344, 225.01284790039062, 96.77193450927734), (339, 311.4842224121094, 197.62469482421875), (321, 319.580078125, 49.31578063964844)]"
382,382,0,7,73,"[([7, -62], [4, 0], 2), ([7, 0], [0, 0], 28), ([1, -5], [0, 0], 145), ([10, -1], [-10, -51], 127), ([4, 0], [0, 7], 335), ([2, -1], [-1, -1], 336), ([3, 5], [4, -14], 344), ([38, -10], [46, -41], 339)]","[(2, 92.61811065673828, 193.21856689453125), (28, 788.2509155273438, 75.85690307617188), (145, 369.2500305175781, 24.7830810546875), (127, 295.0603942871094, 113.08731079101562), (335, 95.00032806396484, 145.5435791015625), (336, 825.173583984375, 128.9215087890625), (344, 225.06692504882812, 95.69253540039062), (339, 319.60516357421875, 188.1311492919922)]"
383,383,0,7,73,"[([9, -63], [1, 0], 2), ([7, 1], [0, 0], 28), ([1, -6], [0, -1], 145), ([16, -5], [-11, -31], 127), ([2, -1], [1, 7], 335), ([1, -1], [0, -1], 336), ([3, 5], [-1, 3], 344), ([38, -10], [46, -51], 339)]","[(2, 89.3951187133789, 192.83453369140625), (28, 788.1098022460938, 76.16961669921875), (145, 369.8117980957031, 25.038818359375), (127, 293.4211730957031, 114.03082275390625), (335, 95.35592651367188, 143.64837646484375), (336, 825.2128295898438, 128.74081420898438), (344, 223.26025390625, 97.2739028930664), (339, 333.15814208984375, 178.82810974121094)]"
384,384,0,7,73,"[([8, -33], [0, 0], 2), ([8, 0], [-1, 0], 28), ([0, -6], [0, -14], 145), ([21, -4], [-11, -14], 127), ([1, 4], [1, 5], 335), ([2, 0], [0, 3], 336), ([3, 5], [-3, 8], 344), ([38, -10], [59, -54], 339)]","[(2, 89.46167755126953, 190.33721923828125), (28, 788.128662109375, 76.57717895507812), (145, 369.48162841796875, 24.63299560546875), (127, 292.92205810546875, 114.33865356445312), (335, 95.47489929199219, 142.46975708007812), (336, 825.039306640625, 129.4730224609375), (344, 222.54345703125, 98.39920043945312), (339, 354.05657958984375, 169.1607666015625)]"
385,385,0,7,73,"[([-4, -18], [-4, 0], 2), ([6, 0], [-1, 0], 28), ([0, -1], [0, -20], 145), ([17, 1], [-7, -8], 127), ([1, 5], [2, 4], 335), ([1, 0], [1, 5], 336), ([3, 5], [-3, 21], 344), ([38, -10], [63, -50], 339), ([0, 0], [0, 0], 357)]","[(2, 87.47420501708984, 189.60733032226562), (28, 788.8529663085938, 76.71005249023438), (145, 369.44427490234375, 24.430099487304688), (127, 295.9326171875, 114.83331298828125), (335, 96.63020324707031, 142.00531005859375), (336, 825.0398559570312, 133.91436767578125), (344, 222.1193084716797, 99.7708740234375), (339, 366.26934814453125, 166.50311279296875), (357, 561.2626953125, 370.46795654296875)]"
386,386,0,7,73,"[([-5, -9], [-4, -1], 2), ([5, 0], [1, 0], 28), ([-1, 0], [1, -20], 145), ([17, 3], [-2, 0], 127), ([1, 7], [1, 2], 335), ([2, 0], [-1, 3], 336), ([3, 5], [-5, 13], 344), ([38, -10], [63, -39], 339), ([0, -1], [0, -1], 357)]","[(2, 87.05087280273438, 190.32205200195312), (28, 789.667724609375, 76.32354736328125), (145, 370.25970458984375, 25.357925415039062), (127, 297.3202209472656, 114.06268310546875), (335, 96.6864013671875, 141.86773681640625), (336, 824.5304565429688, 131.49758911132812), (344, 220.94509887695312, 100.30462646484375), (339, 374.5489501953125, 166.6634521484375), (357, 561.0071411132812, 369.7292785644531)]"
387,387,0,8,73,"[([1, 0], [-8, -3], 2), ([3, -1], [3, 0], 28), ([-1, 2], [1, -22], 145), ([17, 5], [2, 1], 127), ([4, 5], [1, -1], 335), ([2, 0], [-2, 6], 336), ([3, 5], [-8, 21], 344), ([38, -10], [58, -29], 339), ([-7, -2], [-7, -2], 357), ([0, 2], [40, 57], 332)]","[(2, 84.41669464111328, 189.81410217285156), (28, 791.787353515625, 76.11654663085938), (145, 370.7583312988281, 25.579345703125), (127, 297.9258728027344, 114.72842407226562), (335, 96.89881896972656, 141.6805419921875), (336, 823.9964599609375, 136.13157653808594), (344, 217.58132934570312, 101.90068817138672), (339, 377.2889404296875, 161.20782470703125), (357, 554.4071655273438, 367.636474609375), (332, 299.20635986328125, 113.71247100830078)]"
388,388,0,8,73,"[([-4, 11], [-5, -3], 2), ([-1, 1], [5, 0], 28), ([-1, 4], [1, -15], 145), ([13, 3], [5, 1], 127), ([4, 2], [2, -2], 335), ([1, 0], [-2, 12], 336), ([3, 5], [-7, 15], 344), ([38, -10], [56, -27], 339), ([-8, -4], [-8, -4], 357), ([0, 2], [38, 68], 332)]","[(2, 84.48248291015625, 187.74368286132812), (28, 793.5843505859375, 76.24880981445312), (145, 370.43743896484375, 24.744430541992188), (127, 298.939697265625, 113.716552734375), (335, 97.17231750488281, 141.84490966796875), (336, 823.4306030273438, 147.89781188964844), (344, 216.96681213378906, 102.33393096923828), (339, 389.0613708496094, 155.88775634765625), (357, 553.0594482421875, 363.0647888183594), (332, 300.0668029785156, 113.44132232666016)]"
389,389,0,8,73,"[([-6, 15], [-3, -3], 2), ([-3, 1], [4, 0], 28), ([-1, 3], [1, 8], 145), ([13, 1], [8, 2], 127), ([4, 1], [7, -4], 335), ([1, 0], [-3, 10], 336), ([3, 5], [-5, 12], 344), ([38, -10], [45, -31], 339), ([-8, -5], [-8, -5], 357), ([0, 2], [35, 82], 332)]","[(2, 86.7000732421875, 188.34921264648438), (28, 792.7075805664062, 76.22888946533203), (145, 370.8695983886719, 25.104049682617188), (127, 300.1523742675781, 113.52374267578125), (335, 102.1606216430664, 142.6295166015625), (336, 822.9560546875, 144.92987060546875), (344, 217.013916015625, 103.31350708007812), (339, 399.0845947265625, 148.00213623046875), (357, 553.9071044921875, 360.491455078125), (332, 301.1279296875, 112.71179962158203)]"
390,390,0,8,73,"[([-4, 22], [2, -1], 2), ([-5, 1], [3, 0], 28), ([0, 4], [2, 16], 145), ([14, -1], [5, 11], 127), ([0, -1], [11, -4], 335), ([0, 3], [-3, 6], 336), ([3, 5], [-5, 10], 344), ([38, -10], [38, -41], 339), ([-8, -5], [-7, -4], 357), ([0, 2], [33, 81], 332)]","[(2, 89.73042297363281, 189.1667022705078), (28, 791.9593505859375, 76.23101806640625), (145, 371.4519348144531, 24.9757080078125), (127, 300.41363525390625, 113.35528564453125), (335, 107.2492446899414, 143.37973022460938), (336, 822.8795166015625, 142.56005859375), (344, 217.17022705078125, 102.9202880859375), (339, 404.1727294921875, 142.31195068359375), (357, 554.2444458007812, 362.2263488769531), (332, 301.18548583984375, 113.10419464111328)]"
391,391,0,8,73,"[([-3, 20], [5, -3], 2), ([-4, 1], [1, 0], 28), ([0, 3], [1, 17], 145), ([8, -2], [3, 4], 127), ([-2, -2], [14, -4], 335), ([-1, 11], [-2, 7], 336), ([3, 5], [-3, 13], 344), ([21, -9], [34, -53], 339), ([-8, -5], [-10, -3], 357), ([0, 2], [31, 66], 332)]","[(2, 92.08760070800781, 185.60183715820312), (28, 790.820068359375, 75.88882446289062), (145, 371.83087158203125, 25.258071899414062), (127, 300.2315673828125, 113.16757202148438), (335, 110.21319580078125, 144.09384155273438), (336, 822.8272094726562, 143.0854949951172), (344, 217.67465209960938, 103.06256103515625), (339, 408.73101806640625, 136.64141845703125), (357, 551.388427734375, 362.055908203125), (332, 301.23931884765625, 112.5147705078125)]"
392,392,0,8,73,"[([7, 22], [6, -2], 2), ([-3, -1], [0, 0], 28), ([0, 2], [2, 19], 145), ([7, -2], [3, 1], 127), ([-2, -4], [11, -2], 335), ([-2, 5], [0, 5], 336), ([3, 5], [0, 8], 344), ([18, -5], [33, -63], 339), ([-8, -5], [-5, -3], 357), ([0, 2], [2, 19], 332)]","[(2, 90.92823791503906, 186.874267578125), (28, 791.2191162109375, 75.15753173828125), (145, 372.14019775390625, 25.266265869140625), (127, 300.538330078125, 112.88362884521484), (335, 107.27674865722656, 144.67868041992188), (336, 823.662353515625, 142.78955078125), (344, 217.75802612304688, 104.07012176513672), (339, 410.3396301269531, 133.29501342773438), (357, 549.0374755859375, 361.06329345703125), (332, 301.281494140625, 111.89306640625)]"
393,393,0,8,73,"[([11, 42], [6, -1], 2), ([-5, -1], [-3, 0], 28), ([0, 1], [2, 12], 145), ([6, -2], [2, 0], 127), ([-2, -5], [12, 1], 335), ([-3, 2], [1, -5], 336), ([6, 0], [2, 6], 344), ([21, 0], [20, -56], 339), ([-8, -5], [-2, 1], 357), ([0, 2], [1, 8], 332)]","[(2, 90.42384338378906, 185.2507781982422), (28, 790.8308715820312, 74.98416137695312), (145, 372.6188049316406, 25.180374145507812), (127, 300.62261962890625, 113.83615112304688), (335, 109.74102783203125, 144.9326171875), (336, 824.5667724609375, 138.9222869873047), (344, 218.6280059814453, 105.75699615478516), (339, 409.492431640625, 131.4529571533203), (357, 551.9227294921875, 363.655029296875), (332, 301.3308410644531, 111.27734375)]"
394,394,0,8,73,"[([14, 44], [4, -2], 2), ([-6, -1], [-2, 0], 28), ([1, 1], [2, 1], 145), ([4, 0], [0, -1], 127), ([0, -4], [7, 3], 335), ([-4, -2], [2, -3], 336), ([5, 1], [0, 4], 344), ([20, -2], [11, -47], 339), ([-8, -5], [-2, 2], 357), ([0, 2], [0, 5], 332)]","[(2, 90.82501983642578, 185.46197509765625), (28, 790.1063842773438, 75.24102783203125), (145, 372.9356689453125, 25.124526977539062), (127, 300.64324951171875, 114.038818359375), (335, 109.64095306396484, 144.99600219726562), (336, 824.9375610351562, 138.69515991210938), (344, 217.75100708007812, 106.17535400390625), (339, 410.1954040527344, 127.27703857421875), (357, 551.4038696289062, 364.1759033203125), (332, 301.92987060546875, 112.10260009765625)]"
395,395,0,8,73,"[([11, 46], [3, -4], 2), ([-9, 0], [-2, -1], 28), ([1, 0], [1, -3], 145), ([2, 3], [0, -11], 127), ([1, 1], [6, 2], 335), ([-5, -10], [2, -6], 336), ([4, -8], [1, 2], 344), ([18, -4], [8, -64], 339), ([-8, -5], [-4, 3], 357), ([0, 2], [1, 2], 332)]","[(2, 92.60752868652344, 184.2759246826172), (28, 789.83056640625, 75.05926513671875), (145, 372.84600830078125, 24.909683227539062), (127, 300.5755615234375, 113.7441635131836), (335, 113.81045532226562, 145.81094360351562), (336, 824.90478515625, 133.7181396484375), (344, 218.30758666992188, 103.71414184570312), (339, 412.3941650390625, 120.88720703125), (357, 550.7577514648438, 368.10186767578125), (332, 302.7413635253906, 110.62722778320312)]"
396,396,0,8,73,"[([9, 38], [2, -5], 2), ([-9, 1], [-1, -1], 28), ([1, 0], [2, -3], 145), ([0, 2], [0, -5], 127), ([1, 2], [7, 3], 335), ([-4, -5], [3, -10], 336), ([2, -3], [0, 0], 344), ([16, -7], [12, -65], 339), ([-8, -5], [-4, 1], 357), ([0, 2], [2, -1], 332)]","[(2, 94.21673583984375, 184.51644897460938), (28, 789.49072265625, 75.17202758789062), (145, 373.00927734375, 24.612106323242188), (127, 300.82501220703125, 113.58767700195312), (335, 117.01728057861328, 146.6207275390625), (336, 825.0811767578125, 129.2100372314453), (344, 217.18309020996094, 104.49273681640625), (339, 420.0765686035156, 115.91920471191406), (357, 547.6959228515625, 364.5010986328125), (332, 303.1168212890625, 110.96771240234375)]"
397,397,0,8,73,"[([8, 17], [5, -6], 2), ([-8, 1], [-2, -1], 28), ([1, -1], [1, -2], 145), ([-1, 2], [1, 3], 127), ([0, 0], [10, -6], 335), ([-4, -2], [2, -9], 336), ([-2, 4], [-1, -3], 344), ([12, -13], [14, -57], 339), ([-8, -5], [-3, 1], 357), ([0, 2], [1, 0], 332)]","[(2, 95.41423797607422, 184.2205352783203), (28, 789.0482788085938, 75.09552001953125), (145, 373.09808349609375, 24.441329956054688), (127, 301.827880859375, 113.86016082763672), (335, 117.0736083984375, 147.11282348632812), (336, 825.304931640625, 130.09274291992188), (344, 216.28839111328125, 102.77613067626953), (339, 424.91064453125, 109.73432922363281), (357, 546.8497314453125, 362.98309326171875), (332, 302.8134765625, 110.92852783203125)]"
398,398,0,8,73,"[([5, 8], [6, -7], 2), ([-6, 1], [-2, -1], 28), ([0, -2], [1, 1], 145), ([1, 0], [2, 5], 127), ([0, 3], [11, -8], 335), ([-6, 0], [1, -9], 336), ([-4, 12], [6, 4], 344), ([14, -14], [21, -55], 339), ([-8, -5], [-4, 0], 357), ([0, 2], [1, 0], 332)]","[(2, 96.13226318359375, 185.10067749023438), (28, 788.98681640625, 74.33413696289062), (145, 373.4553527832031, 24.352523803710938), (127, 302.93865966796875, 114.2576904296875), (335, 120.55351257324219, 147.38232421875), (336, 825.2589111328125, 125.43376159667969), (344, 224.49755859375, 116.3106689453125), (339, 430.8702087402344, 105.52714538574219), (357, 547.7626953125, 364.0530700683594), (332, 302.6868591308594, 111.4244384765625)]"
399,399,0,8,73,"[([5, 2], [7, -5], 2), ([-2, 0], [-2, -1], 28), ([-1, 0], [1, 2], 145), ([2, -2], [3, 9], 127), ([-3, 1], [12, -11], 335), ([-7, -1], [1, -10], 336), ([-5, 24], [-3, 2], 344), ([15, -13], [27, -52], 339), ([-8, -5], [-1, 2], 357), ([0, 2], [1, 0], 332)]","[(2, 97.15180206298828, 185.23248291015625), (28, 788.8486328125, 73.6498031616211), (145, 373.2435607910156, 24.340286254882812), (127, 303.4870300292969, 114.76364135742188), (335, 121.93013763427734, 147.45960998535156), (336, 825.9361572265625, 123.20661926269531), (344, 214.5867919921875, 107.86394500732422), (339, 437.09619140625, 102.38471984863281), (357, 550.1243286132812, 368.5482177734375), (332, 302.54339599609375, 112.08087158203125)]"
400,400,0,7,73,"[([6, 2], [6, -5], 2), ([-1, 0], [-1, -1], 28), ([-1, 1], [1, 5], 145), ([1, 0], [3, 16], 127), ([-5, 1], [2, -12], 335), ([-9, 0], [3, -7], 336), ([16, -11], [32, -23], 339), ([-8, -5], [2, 2], 357), ([0, 2], [0, 0], 332)]","[(2, 98.06610870361328, 183.97540283203125), (28, 788.2940673828125, 72.17556762695312), (145, 373.3423767089844, 25.184036254882812), (127, 303.3877258300781, 112.880859375), (335, 115.84283447265625, 147.54678344726562), (336, 827.6279296875, 122.8851547241211), (339, 444.9229736328125, 102.58871459960938), (357, 552.126953125, 371.37139892578125), (332, 302.7774963378906, 111.63226318359375)]"
401,401,0,6,73,"[([5, 0], [4, -3], 2), ([0, 0], [-6, 0], 28), ([0, 1], [0, 7], 145), ([-5, 5], [-5, -14], 335), ([-9, 0], [4, -6], 336), ([20, -10], [30, -10], 339), ([-8, -5], [5, 5], 357), ([0, 2], [0, 1], 332)]","[(2, 98.11497497558594, 183.28721618652344), (28, 783.1361694335938, 73.97409057617188), (145, 373.3221130371094, 25.488784790039062), (335, 112.29044342041016, 147.58998107910156), (336, 829.6852416992188, 120.35856628417969), (339, 450.40093994140625, 101.4510498046875), (357, 552.8052978515625, 373.8433837890625), (332, 303.879150390625, 111.71636962890625)]"
402,402,0,6,73,"[([4, 0], [4, -3], 2), ([0, 0], [-7, 1], 28), ([-1, 2], [0, 7], 145), ([-8, 1], [-6, -11], 335), ([-7, 4], [5, -10], 336), ([28, -9], [33, -6], 339), ([-8, -5], [5, 5], 357), ([0, 2], [3, 0], 332)]","[(2, 99.55792236328125, 183.31240844726562), (28, 782.1058349609375, 75.23068237304688), (145, 373.15185546875, 25.560592651367188), (335, 111.14220428466797, 147.41738891601562), (336, 830.9840087890625, 118.23866271972656), (339, 457.82403564453125, 101.34127807617188), (357, 551.9592895507812, 371.32965087890625), (332, 305.3965148925781, 112.38583374023438)]"
403,403,0,5,73,"[([1, 0], [6, 0], 2), ([-1, 0], [-8, 1], 28), ([0, 1], [-1, 5], 145), ([-5, 6], [7, -9], 336), ([38, -10], [35, -9], 339), ([-8, -5], [0, 1], 357), ([0, 2], [3, 0], 332)]","[(2, 102.37300109863281, 182.45472717285156), (28, 780.6796875, 76.00848388671875), (145, 372.750732421875, 25.41485595703125), (336, 832.030029296875, 117.32575988769531), (339, 465.5298156738281, 99.6558837890625), (357, 547.560302734375, 366.7838134765625), (332, 305.74468994140625, 111.19021606445312)]"
404,404,0,5,73,"[([1, -1], [14, 0], 2), ([0, 0], [-9, 1], 28), ([0, 0], [-1, 4], 145), ([-3, 2], [8, -9], 336), ([42, -15], [35, -13], 339), ([-8, -5], [-7, -2], 357), ([0, 2], [3, -1], 332)]","[(2, 111.53819274902344, 180.49424743652344), (28, 779.3518676757812, 76.0965805053711), (145, 372.71392822265625, 25.49951171875), (336, 833.50244140625, 117.31204223632812), (339, 472.8443603515625, 96.56396484375), (357, 543.1144409179688, 364.3786315917969), (332, 305.9705505371094, 110.9249267578125)]"
405,405,0,5,73,"[([3, -3], [19, 2], 2), ([1, 0], [-10, 2], 28), ([-1, 0], [-1, 3], 145), ([-3, 3], [5, -10], 336), ([43, -20], [33, -15], 339), ([-8, -5], [-12, -4], 357), ([0, 2], [4, -1], 332)]","[(2, 117.45536804199219, 179.95669555664062), (28, 778.44189453125, 75.426513671875), (145, 372.5563049316406, 25.493270874023438), (336, 832.9425048828125, 114.79002380371094), (339, 477.76422119140625, 94.94375610351562), (357, 540.60791015625, 363.48248291015625), (332, 306.13214111328125, 110.33758544921875)]"
406,406,0,5,73,"[([3, -1], [22, -1], 2), ([0, 0], [-10, 0], 28), ([0, 0], [-1, -1], 145), ([-1, 0], [5, -8], 336), ([38, -27], [24, -18], 339), ([-8, -5], [-11, -4], 357), ([0, 2], [3, -1], 332)]","[(2, 120.35022735595703, 173.78652954101562), (28, 773.65966796875, 73.45954132080078), (145, 372.24560546875, 25.118240356445312), (336, 834.6378173828125, 116.60800170898438), (339, 474.2096862792969, 92.91595458984375), (357, 541.089599609375, 365.55316162109375), (332, 306.8165283203125, 109.63751220703125)]"
407,407,1,6,74,"[([4, 1], [22, -3], 2), ([0, 0], [-12, -3], 28), ([0, 0], [-1, -2], 145), ([0, -2], [5, -6], 336), ([32, -38], [11, -19], 339), ([-8, -5], [-11, -5], 357), ([0, 2], [2, -1], 332), ([0, 0], [0, 0], 373)]","[(2, 121.18089294433594, 171.1877899169922), (28, 770.029052734375, 67.98783111572266), (145, 372.4560241699219, 25.001846313476562), (336, 835.290771484375, 117.150634765625), (339, 468.83782958984375, 90.82870483398438), (357, 540.2417602539062, 363.66510009765625), (332, 307.60809326171875, 109.70904541015625), (373, 98.2100830078125, 173.56521606445312)]"
408,408,0,6,74,"[([0, 0], [19, -7], 2), ([-1, 0], [-10, -6], 28), ([0, -1], [0, -2], 145), ([0, 3], [3, -5], 336), ([38, -45], [0, -15], 339), ([-8, -5], [-7, -2], 357), ([0, 2], [2, -2], 332), ([0, -2], [0, -2], 373)]","[(2, 121.69439697265625, 169.48126220703125), (28, 770.1010131835938, 62.395782470703125), (145, 372.5392150878906, 25.5037841796875), (336, 835.6224365234375, 115.78875732421875), (339, 465.5745849609375, 88.74972534179688), (357, 540.4754638671875, 363.55560302734375), (332, 307.5296325683594, 109.92755126953125), (373, 98.71342468261719, 171.10269165039062)]"
409,409,0,5,74,"[([-1, 0], [-9, -5], 28), ([0, -14], [-1, -1], 145), ([1, 2], [3, -5], 336), ([51, -47], [-9, -11], 339), ([-8, -5], [-3, -2], 357), ([4, -9], [1, -3], 332), ([3, 1], [3, 1], 373)]","[(28, 770.361572265625, 65.7410888671875), (145, 371.9559020996094, 25.424530029296875), (336, 836.8350830078125, 115.33433532714844), (339, 463.99517822265625, 85.4747314453125), (357, 540.6405029296875, 362.86224365234375), (332, 306.6273193359375, 109.77066040039062), (373, 101.2585678100586, 170.31362915039062)]"
410,410,0,5,74,"[([0, 0], [-8, -4], 28), ([0, -20], [0, -1], 145), ([0, 3], [5, -3], 336), ([55, -39], [-16, -9], 339), ([-8, -5], [0, 0], 357), ([4, -7], [-4, -2], 332), ([-2, 2], [8, -6], 2)]","[(28, 770.9637451171875, 66.1282958984375), (145, 372.146484375, 25.679595947265625), (336, 837.5985107421875, 116.03506469726562), (339, 461.68280029296875, 82.28787231445312), (357, 540.7882080078125, 365.6933288574219), (332, 302.46417236328125, 109.7310791015625), (2, 119.77743530273438, 169.01641845703125)]"
411,411,0,5,74,"[([1, 0], [-2, -3], 28), ([1, -20], [0, 1], 145), ([-1, 4], [3, -3], 336), ([55, -25], [-15, -7], 339), ([-8, -5], [0, -2], 357), ([11, 10], [-7, -1], 332), ([3, 0], [3, 0], 373)]","[(28, 771.51806640625, 68.14227294921875), (145, 372.0533447265625, 25.996337890625), (336, 837.6840209960938, 116.10537719726562), (339, 459.476318359375, 79.79519653320312), (357, 541.560302734375, 365.09918212890625), (332, 299.429443359375, 109.14593505859375), (373, 101.43355560302734, 169.15362548828125)]"
412,412,0,5,74,"[([3, 0], [2, -1], 28), ([1, -21], [0, 1], 145), ([-2, 5], [1, -4], 336), ([44, -16], [-12, -6], 339), ([-8, -5], [1, 0], 357), ([37, 57], [-10, -2], 332), ([4, 0], [4, 0], 373)]","[(28, 772.4620971679688, 68.77420043945312), (145, 372.20556640625, 26.107620239257812), (336, 836.677734375, 113.36956787109375), (339, 456.2546691894531, 75.63748168945312), (357, 541.294677734375, 364.5472106933594), (332, 297.19122314453125, 107.06790161132812), (373, 102.21929931640625, 169.34280395507812)]"
413,413,1,6,75,"[([5, 0], [3, 2], 28), ([1, -2], [-1, 1], 145), ([-2, 12], [1, -4], 336), ([35, -18], [-17, -8], 339), ([-8, -5], [0, -1], 357), ([34, 78], [-13, -1], 332), ([4, 0], [3, 0], 373), ([0, 0], [0, 0], 380)]","[(28, 773.0648193359375, 70.17648315429688), (145, 371.591064453125, 25.458892822265625), (336, 836.2827758789062, 112.51349639892578), (339, 448.8109436035156, 73.1402587890625), (357, 540.950439453125, 362.7413024902344), (332, 294.59063720703125, 106.49795532226562), (373, 101.31649780273438, 170.55255126953125), (380, 635.7576904296875, 44.535675048828125)]"
414,414,0,6,75,"[([4, 0], [2, 2], 28), ([1, 14], [0, 1], 145), ([-3, 7], [-1, -3], 336), ([33, -28], [-20, -8], 339), ([-8, -5], [-1, -1], 357), ([33, 79], [-15, 1], 332), ([4, 0], [2, 3], 373), ([-3, -1], [-3, -1], 380)]","[(28, 772.9992065429688, 71.00909423828125), (145, 371.4036865234375, 25.203582763671875), (336, 835.7544555664062, 112.62730407714844), (339, 443.119140625, 70.16726684570312), (357, 539.327392578125, 359.93316650390625), (332, 291.44219970703125, 107.93740844726562), (373, 100.50164031982422, 171.69204711914062), (380, 632.5029296875, 41.66473388671875)]"
415,415,1,7,76,"[([2, 0], [1, 2], 28), ([1, 16], [-1, 1], 145), ([-2, 6], [-2, -3], 336), ([30, -41], [-22, -6], 339), ([-7, -3], [1, -2], 357), ([31, 64], [-14, 0], 332), ([4, 0], [-2, 0], 373), ([-4, -1], [-4, -1], 380), ([0, 0], [0, 0], 386)]","[(28, 771.724365234375, 71.88812255859375), (145, 371.86212158203125, 24.705673217773438), (336, 835.0654296875, 112.64620971679688), (339, 439.26922607421875, 69.62960815429688), (357, 541.638671875, 361.20068359375), (332, 288.07086181640625, 107.29684448242188), (373, 99.44021606445312, 172.53790283203125), (380, 631.7125854492188, 40.73155212402344), (386, 121.49874877929688, 143.59259033203125)]"
416,416,1,8,77,"[([-1, 0], [-2, 1], 28), ([1, 19], [-1, 0], 145), ([-1, 5], [-3, -3], 336), ([31, -49], [-23, -5], 339), ([-3, -2], [0, -1], 357), ([2, 19], [-13, -1], 332), ([4, 0], [-1, 2], 373), ([-3, -2], [-3, -2], 380), ([-1, 0], [-1, 0], 386), ([0, 0], [0, 0], 387)]","[(28, 769.963623046875, 70.75296020507812), (145, 371.8274841308594, 24.604476928710938), (336, 834.5266723632812, 114.41816711425781), (339, 436.9950866699219, 68.18280029296875), (357, 541.9736328125, 361.71673583984375), (332, 286.5986328125, 106.82125854492188), (373, 100.40298461914062, 172.83297729492188), (380, 632.065185546875, 40.01409912109375), (386, 120.96337890625, 143.34396362304688), (387, 830.703369140625, 89.63690948486328)]"
417,417,0,8,77,"[([-2, 0], [-3, -1], 28), ([2, 13], [-1, 0], 145), ([0, -2], [-3, 0], 336), ([21, -52], [-21, -5], 339), ([-4, -1], [0, -1], 357), ([1, 8], [-11, 0], 332), ([4, 0], [-2, 3], 373), ([-3, 4], [-3, 4], 380), ([-1, 0], [-1, 0], 386), ([-1, 2], [-1, 2], 387), ([0, 0], [0, 0], 388)]","[(28, 769.7012939453125, 70.7120590209961), (145, 371.65081787109375, 24.497344970703125), (336, 833.3233032226562, 115.15773010253906), (339, 435.3997497558594, 65.04171752929688), (357, 541.8111572265625, 361.7979431152344), (332, 286.0682373046875, 105.6583251953125), (373, 100.15388488769531, 173.87367248535156), (380, 632.56396484375, 40.04905700683594), (386, 120.46794128417969, 142.886474609375), (387, 829.879150390625, 92.50534057617188), (388, 337.4759521484375, 206.02584838867188)]"
418,418,1,9,78,"[([-2, 0], [-6, 0], 28), ([2, 2], [0, 1], 145), ([2, -3], [-4, 0], 336), ([10, -43], [-15, -4], 339), ([-2, 2], [-1, 0], 357), ([0, 4], [-13, 0], 332), ([-3, 4], [-2, 3], 380), ([-1, 0], [-1, 0], 386), ([-2, 1], [-2, 1], 387), ([2, -3], [2, -3], 388), ([0, 0], [0, 0], 390), ([-4, -2], [-1, -4], 2)]","[(28, 767.6096801757812, 69.96786499023438), (145, 371.29498291015625, 25.068466186523438), (336, 832.1011962890625, 113.9671630859375), (339, 433.87164306640625, 61.010528564453125), (357, 539.98193359375, 360.0220947265625), (332, 281.59033203125, 105.961669921875), (380, 633.7394409179688, 39.75483703613281), (386, 120.00019073486328, 142.4681396484375), (387, 828.9615478515625, 90.68191528320312), (388, 339.6029052734375, 201.33038330078125), (390, 789.1282958984375, 68.52991485595703), (2, 116.36328125, 171.12196350097656)]"
419,419,0,9,78,"[([-1, 0], [-8, -1], 28), ([1, -1], [0, 0], 145), ([2, -2], [-5, -1], 336), ([6, -34], [-12, -9], 339), ([-3, 1], [0, 1], 357), ([0, 3], [-13, -3], 332), ([-3, 4], [2, 1], 380), ([-2, -1], [-2, -1], 386), ([-2, 4], [-2, 4], 387), ([3, -5], [3, -5], 388), ([-1, -1], [-1, -1], 390), ([-5, -2], [-4, -1], 2)]","[(28, 764.2012939453125, 68.60314178466797), (145, 371.0147705078125, 25.478591918945312), (336, 830.4148559570312, 112.01251983642578), (339, 431.8940124511719, 55.46661376953125), (357, 539.4851684570312, 361.02899169921875), (332, 278.58013916015625, 104.32376098632812), (380, 634.0828247070312, 40.16893005371094), (386, 119.67750549316406, 142.26431274414062), (387, 828.130615234375, 98.41708374023438), (388, 340.2757263183594, 199.40414428710938), (390, 788.171875, 67.3212890625), (2, 116.46607208251953, 172.20254516601562)]"
